"","mu","sigma"
"1",154.944095403804,7.99161693890248
"2",154.756367770645,7.48235227001369
"3",154.503929068495,7.67927673663828
"4",154.039357145825,7.8676902535344
"5",154.319070791552,7.67876597470324
"6",154.370902993697,7.32424758038275
"7",154.573828731104,7.61443920509294
"8",154.430650119419,7.7842352777477
"9",154.651207348366,7.54180575668523
"10",153.81382887241,7.44604000140503
"11",154.377017539674,7.76949313425566
"12",154.777581446847,7.35400264576841
"13",154.892224912935,7.14035715164388
"14",154.788011040533,7.41653105401815
"15",154.886102678755,7.47982103204637
"16",154.669425580069,7.58344045547943
"17",155.162820082136,7.99326406540846
"18",154.520308892775,7.78803156064196
"19",154.437222736697,7.64449112613233
"20",154.253031009576,7.8263114304615
"21",155.231111766136,7.83314140280429
"22",154.497562378188,7.72800682795906
"23",154.441752843823,7.3606187884253
"24",154.816745548282,7.91794872923653
"25",153.689430196475,7.84719314054632
"26",154.984953863107,7.59657489429113
"27",154.439240097973,7.74550929719735
"28",154.918925121163,7.52699042467691
"29",154.909360445987,7.98525981143109
"30",154.191200469728,7.77302441258057
"31",154.371193217515,7.86157428904602
"32",154.202911005784,8.19904443374521
"33",154.518597333045,7.69073593980126
"34",154.899760445886,7.29995338788553
"35",154.328627958188,7.46182023176604
"36",154.394272011934,7.6420355974943
"37",155.001157793597,7.55008283235741
"38",154.323693782971,7.58257021431845
"39",154.492895284694,7.95991118249591
"40",154.965889537517,7.91766945089385
"41",154.734445395493,8.01425332496899
"42",153.876538260544,8.07068264854086
"43",154.776903315567,7.54063249049045
"44",154.514444519268,7.41891897651761
"45",154.959023786767,7.72474838571897
"46",154.959606802192,7.73694515425206
"47",154.497124218798,7.71775975147176
"48",154.641198324416,7.55052663176819
"49",154.527501564814,7.80105413945758
"50",155.440850737557,7.62424111241049
"51",154.802869094871,7.58594303465655
"52",154.208017851255,7.75326419883248
"53",154.756166104521,8.12356690118193
"54",153.780087568815,7.81111790521341
"55",154.550995922456,8.0115719183167
"56",154.429935701867,7.73569719413317
"57",154.356500161452,7.74280910590954
"58",154.815525257657,7.51346716813354
"59",154.207777009354,8.08817909349722
"60",153.879451723346,7.5549537311037
"61",154.76617347428,7.40138089613714
"62",154.683072530193,7.45928340921899
"63",155.058137415783,7.30926276165479
"64",154.943786688716,8.01277679636731
"65",154.523365761608,7.5733464912775
"66",154.202250558992,7.60201960587998
"67",155.007189770093,7.81792001026691
"68",155.257502916294,8.05625845189718
"69",154.508195939594,7.66334265760191
"70",155.08314094513,7.59909216842253
"71",154.978743215282,8.26928943605072
"72",154.83847626821,7.42355392669799
"73",154.323212528659,7.43084038232363
"74",155.352184203081,7.38666985189704
"75",155.278854016125,7.64821430329428
"76",155.01017277252,7.88090748748642
"77",154.286974869397,7.79531225283751
"78",154.395834173849,8.070827638443
"79",154.599028177307,7.61556374193866
"80",154.218661844554,8.1695202061222
"81",154.805854105245,8.23431976580693
"82",154.9224045639,7.47456855318806
"83",154.837255508234,7.58732066984899
"84",155.330609699556,7.64691711334673
"85",154.544456378539,8.08924591900499
"86",154.996971792444,7.74188780408978
"87",154.452032172347,7.50521871290243
"88",154.197205875362,7.89074806983863
"89",154.134838584688,7.92021092254343
"90",154.747637951621,7.96882848327366
"91",155.025374288378,7.74750877334095
"92",154.544967662208,7.60590885061751
"93",154.542850214503,7.29476465680981
"94",154.857331164028,7.99529264230758
"95",154.576465065617,7.20872746114739
"96",154.206028979969,7.88399472836716
"97",154.379103613793,7.17430722884321
"98",154.329279795626,7.97130031551602
"99",155.286574276068,7.9054583420888
"100",154.597992682513,7.83263917198252
"101",154.747934552681,7.9021669611146
"102",154.685424252528,7.91214969413309
"103",154.571667069441,8.289248843437
"104",154.449535228957,7.69846575536374
"105",154.802769923013,7.64827968077917
"106",155.129315875559,7.48934319051026
"107",154.919259828686,8.03071133622909
"108",153.464450078491,7.55760060459066
"109",154.368459495101,7.4922180430059
"110",155.338171864015,7.73783757619208
"111",155.024654954139,7.60878585578902
"112",155.262588214034,7.76690426236272
"113",154.245664286264,7.50813013289568
"114",155.012080934714,7.66497825572446
"115",154.664962109329,7.71298313376959
"116",155.166086021145,7.61197480752077
"117",154.531880124422,8.33695000795001
"118",154.052699448248,8.20760136617163
"119",154.508411105193,7.24526860053704
"120",153.96664375848,7.64197427942548
"121",153.902741559365,7.61753504815753
"122",154.978672982831,7.58055304274072
"123",155.560913277821,7.86746730202158
"124",154.480590747044,7.45848063983523
"125",155.155826753174,7.07424869285542
"126",154.451177765641,7.51227935984982
"127",154.387823903126,7.46374962554569
"128",154.363918677847,7.96826417457188
"129",155.099039313568,7.78256262241972
"130",154.08174398381,7.7681267323792
"131",154.562629482023,7.94220393541459
"132",153.320644305466,7.5980451771832
"133",154.654414317972,7.82197690838425
"134",154.72277812278,7.40287102480527
"135",154.300498796449,7.78417482891203
"136",154.439656351843,8.0937885323411
"137",154.228526640674,7.6259386179851
"138",154.439230425125,7.8640901772386
"139",155.006228596304,7.98740529926906
"140",154.739763883179,7.89969382902676
"141",153.901787724357,7.44355557173345
"142",154.586056666924,7.49505305327644
"143",154.979013506217,7.14118280784253
"144",154.887532414722,7.96166236729242
"145",155.182133522785,7.87332326131183
"146",154.606671429095,7.84267256102938
"147",154.502295867214,7.60330322546471
"148",153.975236486972,7.62232549808432
"149",154.661327811877,8.12752065144511
"150",154.310480176116,7.47016037759407
"151",153.816724636736,7.43096102412081
"152",154.303725811631,8.05001005322923
"153",154.454760698425,7.86549240540977
"154",155.078252221812,7.7024653305811
"155",154.159404371827,8.17721756692147
"156",154.294395336326,7.54210136456468
"157",154.107415067247,7.68086669470784
"158",155.595971763735,8.46016958308881
"159",154.569475558352,7.19631881580916
"160",154.362544505894,7.70676847512085
"161",154.397994481003,7.69062528264882
"162",154.187391860205,7.31074947534945
"163",154.709630027011,7.62414632675226
"164",154.535888031207,7.26251676905809
"165",154.810609935407,7.53757555027119
"166",155.113750683389,7.63093343341514
"167",154.927832348711,7.82504055472377
"168",154.373956743948,7.39315235675202
"169",154.845490271751,7.67481931975671
"170",155.412734852276,7.55445922099363
"171",155.512075651407,7.98592818424337
"172",154.837323783491,8.26831305933343
"173",154.422101261493,7.50154091959641
"174",153.997944193432,7.98020394905931
"175",154.552194020573,8.18528095598314
"176",153.681911667049,8.01796361945236
"177",154.141993158062,7.29079421602634
"178",154.375197198098,7.56078145090409
"179",154.75364794692,8.01182582026485
"180",154.824362449843,7.89254043609937
"181",155.176347924804,7.25174013450018
"182",153.914837061373,7.68583362696697
"183",154.252387815701,7.21897512228249
"184",155.338273519951,7.55540811351865
"185",154.194837921213,7.67336848563442
"186",154.650705842038,7.67333619149976
"187",154.585026137856,7.80624486511186
"188",154.125225323451,7.86955565743125
"189",155.045485988889,7.65646254142872
"190",154.506004727779,8.10535442456971
"191",154.034818976422,7.98680730629968
"192",153.747097817112,7.39074128775961
"193",154.623967888906,8.20395522154536
"194",154.672814881941,7.29438036994255
"195",154.667366340045,7.8541669186465
"196",154.049007771909,7.21352686436373
"197",155.446518210541,7.56760649333379
"198",154.945522484407,7.3766529296513
"199",154.615342600949,7.77917699575981
"200",155.500235510452,7.01058999443847
"201",155.245707268509,7.60001603658265
"202",154.623683307282,8.16471529558446
"203",154.817951364892,8.29730396943454
"204",153.848670161972,8.02599573961985
"205",154.309714356737,7.7700946867536
"206",154.559634918824,7.62899762829919
"207",153.916784505228,7.76003626536235
"208",154.054343646213,7.29976409850108
"209",154.986888974486,7.69281699114788
"210",153.737590765814,7.76733494615612
"211",154.736327609821,7.53455516269309
"212",154.945183732053,7.81983497965438
"213",154.769730242229,7.66256371154201
"214",154.649924916613,8.06620515900498
"215",154.207352747576,7.66392390431877
"216",154.754488118173,7.22087424124207
"217",153.848175191492,7.76985373096537
"218",154.172669435906,7.96846984093448
"219",154.403710867409,7.8566570640828
"220",154.541490774006,7.799787176224
"221",155.158563771226,7.68613268265683
"222",155.472095821592,7.2930037261504
"223",154.582918541799,7.7300353328941
"224",154.727661889433,7.87707669896237
"225",154.826171496316,8.23329947250811
"226",154.69870879514,8.16226340300387
"227",154.771003561212,7.36120616603008
"228",154.508875296813,8.35812987789051
"229",154.365662013225,7.73174992231067
"230",154.674048129299,7.3691777681977
"231",154.230116791981,7.9711397537088
"232",154.81253497905,7.63711454150515
"233",154.017884320163,7.7466472616749
"234",154.801943367499,8.28680397211481
"235",154.21162434884,8.04312184670469
"236",154.568546347374,7.88957968434969
"237",154.356153962515,8.21984072607509
"238",154.174199613102,8.52603595657589
"239",154.974995583384,7.51008703704518
"240",154.632242979843,7.73245482922566
"241",153.629849190188,7.67174291704039
"242",154.978332638284,7.71988667987926
"243",154.289557439292,7.36314196493336
"244",155.044785648824,7.68490015537937
"245",154.577653616904,7.57828855977009
"246",154.381076917279,7.43780377914191
"247",154.75098553197,7.74206008296208
"248",153.956497772299,7.47980436452807
"249",154.057264892465,7.86590731055446
"250",154.54076358886,8.16938478600706
"251",154.834668547019,7.90643377731044
"252",155.003038582945,7.87975888200475
"253",155.210370124007,7.65450654915003
"254",155.429444992782,8.06852322370977
"255",155.048870919661,7.8903564064139
"256",154.168973273798,7.82685506176426
"257",155.015850981852,8.32116871406223
"258",155.180173102444,7.91639569148764
"259",154.121297225998,7.92549069783827
"260",154.377665580855,7.57943512678146
"261",154.03927364318,7.87603726773586
"262",154.787524536542,7.26591775011608
"263",155.368055810572,7.50900552679494
"264",155.445856862931,7.82139346363427
"265",154.796793975551,7.79541382568028
"266",154.075515497284,8.21781628283838
"267",155.156644173465,7.38552444374313
"268",154.533281494605,7.82451338127772
"269",154.636029972947,7.96446064400598
"270",154.57407223653,7.6490349302745
"271",155.196874463472,7.59818265255694
"272",154.116154785126,7.07227007114373
"273",154.36223059591,8.21122731824098
"274",154.313556978243,7.58260816195805
"275",154.352979846625,7.76604775539889
"276",154.557453692872,7.01186822300648
"277",154.532840781243,7.73069832321658
"278",154.169410729139,7.68887336834018
"279",154.744889575298,7.41989886479721
"280",154.285181235252,7.25688961245189
"281",155.016397269922,7.50560214654066
"282",154.566848660686,7.27140512819858
"283",154.387440719507,7.91749918446331
"284",153.910779264289,7.57376507020717
"285",155.080938064399,7.93711971610974
"286",155.232449319667,7.15127697809696
"287",155.045640950895,7.50192324197955
"288",154.35365810765,8.31058239869688
"289",155.212599535427,7.59301486263302
"290",154.875179104066,7.85559129524366
"291",153.942424445625,7.94835503527052
"292",154.205586345205,7.69907453650078
"293",154.677403649104,7.51901637400488
"294",154.276177394394,7.04862758012936
"295",154.175485577565,8.17714652599677
"296",155.108113478921,8.01013123855669
"297",154.30510380981,7.81012431348796
"298",154.307653375963,8.25383709573183
"299",154.385013018737,7.89924497558506
"300",154.079882262046,7.5182342716672
"301",154.768074565706,7.36769152814691
"302",154.122826556128,7.72076832816949
"303",154.489482018207,7.89569002286341
"304",154.317693184126,6.91714233822568
"305",155.102638173306,8.28287737914415
"306",154.597316114827,8.34609040332993
"307",154.634818611037,8.17637856760062
"308",154.72660768081,7.69334381089964
"309",154.872949304366,8.19332759669479
"310",155.019975362877,7.63011214617895
"311",154.500578170847,8.10176193932235
"312",154.371351085373,7.79614395010004
"313",155.113164794385,7.81286863348149
"314",154.520632708112,7.47127904876587
"315",155.200174562888,7.40911940770029
"316",154.297302809846,7.55356549817807
"317",155.010525579449,7.43189040431448
"318",154.629415722642,7.73480980622777
"319",153.899069131224,7.54462326997632
"320",155.300879377331,7.8650298459129
"321",154.455171240543,7.81307093927011
"322",154.399149067955,7.66881832673206
"323",154.979704720294,7.85092483811428
"324",154.247687887933,7.72929539967862
"325",155.218941239891,8.20426927758396
"326",154.586056136694,7.56410398735112
"327",154.77823306631,8.11434657835549
"328",155.038989709295,7.38187171149818
"329",155.098463917607,7.65812283822931
"330",154.406853827534,7.55360622443
"331",154.596767790867,7.71050309001867
"332",155.004834722786,7.60736239140175
"333",154.730964471073,7.60710130062931
"334",154.625773133683,7.80805481885201
"335",154.764923435084,7.43421235745776
"336",154.953534154631,7.56766686228686
"337",155.56796574694,7.8067952375526
"338",153.874404890157,7.66540753910997
"339",154.047286987301,7.83052999799267
"340",154.518972325117,8.05655976219428
"341",154.197299520684,7.7357995480247
"342",154.574471465765,7.47157059725136
"343",154.553011528241,8.16599193415114
"344",154.222576571858,7.35675472069326
"345",154.139055473297,7.62636381931049
"346",154.454611579615,7.89528021991871
"347",154.754615265325,8.00222926216725
"348",154.390239823971,7.20502965367012
"349",154.091028836188,7.37698379836407
"350",154.468930120275,7.44360182641169
"351",154.873410112971,7.87281471600286
"352",153.90374065557,7.67534490804755
"353",154.67030845697,7.52356409688412
"354",154.93262364897,8.11022458034135
"355",154.563867705222,7.33598691128892
"356",154.607981356478,7.82952391993121
"357",155.040831250728,7.46453817854046
"358",155.234808158006,7.73257417967422
"359",154.856687949504,8.03123597318597
"360",154.825173899448,7.35850506170328
"361",154.756994473862,7.07370806618304
"362",155.300413481736,7.96441361199265
"363",155.257223638952,8.02440824423115
"364",154.207116475435,7.88639366681525
"365",155.028205976637,7.75562031656243
"366",154.794056973149,8.04529211869471
"367",154.737267021092,7.76095677809966
"368",153.994192199436,7.74282625760326
"369",154.770968062651,8.09933583027862
"370",154.497800758091,7.48648509487767
"371",154.755141825702,7.5239771234999
"372",155.085532290624,7.76248181705733
"373",154.618818355955,7.75637568457359
"374",155.185521055335,7.8511213445796
"375",154.59890446975,8.15883469831457
"376",154.661410020886,7.58673113616826
"377",154.118573433075,7.74443216427314
"378",155.025747297244,7.55934382940092
"379",154.669874544194,7.8723657247217
"380",154.700387529334,7.86601781396988
"381",154.522493290513,7.78974626037034
"382",154.115682568406,7.82236023922498
"383",154.251857460659,7.64065654333248
"384",154.946154002262,7.8362009983624
"385",154.778417772232,7.41965224014046
"386",154.39804862655,7.39280270996468
"387",155.064242281093,7.75197395815146
"388",154.909484269539,7.37354831050682
"389",154.850287316195,8.17475307360683
"390",154.485938403543,7.64168221713526
"391",154.94412706959,7.94279063337129
"392",155.415889122623,8.2423421508896
"393",154.502175069529,7.9142504696214
"394",154.91913588808,7.87523637637731
"395",154.360966970067,8.08893142461704
"396",155.340735916168,7.88998932780744
"397",155.553430199043,8.02515030674691
"398",154.253588448477,7.79462170776703
"399",155.117682537988,7.9924837644275
"400",154.708775173982,8.14187866283868
"401",154.59150081524,7.68748995337318
"402",154.689528877255,7.22556124861275
"403",154.527722695213,7.64037182010967
"404",155.4433197482,7.73432364466266
"405",154.463288700395,7.54142568565039
"406",154.512944319659,7.74788227837501
"407",155.043285590427,7.583677717607
"408",154.12038285491,7.61754249753987
"409",154.404455537543,7.6198957850221
"410",155.221815537112,7.47587465781583
"411",154.101194459613,8.04052750705541
"412",154.918830431244,7.61579167757756
"413",154.764914295145,7.80463396183893
"414",154.482709757737,8.18800303616062
"415",154.612513469887,7.32399168397234
"416",154.407226428892,7.63680184687856
"417",154.69966993151,7.78688025483477
"418",154.753874498835,7.56982258404364
"419",154.042590822798,7.96232913663332
"420",155.432885565241,7.65131756670958
"421",154.453454591194,7.86288422175987
"422",154.034958454864,7.86975410866898
"423",153.954488906027,7.68259317840213
"424",154.286590208052,7.38013096016829
"425",154.703798388019,7.8274142236612
"426",154.780465124847,7.55133480329873
"427",154.41141216476,7.87611527491209
"428",155.194329462398,7.42262379473598
"429",154.935066885818,7.56038352099155
"430",155.290462502582,7.86763938003369
"431",154.689998551448,7.20845270688879
"432",154.888956333146,7.78617058704264
