"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",138.65261722086,137.086592255748,141.078164240689,147.168428982478,144.626697654876,134.150949979091,143.588230712538,148.256887901287,148.82129923377,140.185675493939,149.296808167815,138.629224725716,160.641151360264,158.350466008777,147.253508035845,149.949793030883,153.168290452428,160.431565773048,151.840474798197,158.577423225111,161.363436241274,155.822044097782,153.166042999856,153.631570286928,155.293314895819,170.130769830257,155.632501878808,163.539004778019,161.700284303931,158.670344278248,163.16481039968,162.2741049762,163.668446768979,164.892971723616,169.442062140589,164.943531781746,174.706751397195,165.822387702841,168.262572300085,171.753750289097,174.276094390401,176.372857367381,166.283886958554,175.332359538661,171.511490673817,164.495875795109
"2",131.936558288891,147.300460584365,136.760395100054,123.913073004285,139.349533727161,143.673506918538,129.643629450637,143.069667049518,140.940166151133,147.974070278773,139.076769133686,142.572459104888,155.085480640029,149.58562723646,149.510913571761,144.204175037754,152.882187835962,149.595814990921,158.439827193513,145.505457829614,151.948465805274,165.259051104674,146.062857658172,157.963979613373,155.129546973335,161.782043485812,151.590330030243,161.773660797729,166.748694099789,164.936723200805,163.587636702855,171.624942861947,157.98788158237,161.117984037635,159.736369341812,160.946473275727,170.114246847552,166.156769953421,162.129284850257,169.83486911676,166.076262242823,168.844417892584,179.863868890187,170.783070222599,177.861449259051,181.073598551894
"3",137.051094675049,142.77919112625,137.458936253558,141.957084874281,137.619327912626,138.310969542928,142.577138993607,136.783632794747,134.047340790237,151.76715499854,149.910919998389,146.555966747669,143.886984010644,147.069587811338,153.934272252848,152.385883716239,155.039695617081,142.738525198562,153.096771354325,152.005951936943,153.319087297673,150.844549451646,155.843564167976,162.377560341681,159.630560865452,149.17142175599,163.950866865526,161.072063594266,167.249661981309,154.818421203181,172.123353067254,170.056613682355,169.644033164574,159.630545775496,162.984087378268,166.986777254155,160.939883688602,170.788777360917,171.808948336666,176.616337990058,183.887207530484,165.459579514589,174.42521391185,172.677615051076,171.097083458623,172.214069757856
"4",135.569079437219,138.098161957275,132.700204305937,144.19355161169,145.507215175077,142.361492500508,143.568269157144,141.903734928913,147.843106472939,145.126574547028,144.628815225445,152.580739037197,140.229143315912,142.101852085481,146.360643562413,152.951091264586,148.359911195926,149.705585216187,151.774597670747,163.345092618873,154.788880523347,149.253344906301,160.266773210866,153.716979350959,158.487389987396,159.318977238655,162.063663303723,159.034976045476,160.842035217379,166.08305468497,159.175198734886,168.720472657517,163.423288371116,169.417091519852,163.496517302706,168.259781164776,162.551894695623,167.956130077244,179.564104302517,172.175658039448,176.554349146121,170.517662189716,175.231750592969,174.053244785918,185.165992789468,180.202227539641
"5",133.906976786405,133.486553448685,145.264516350619,136.578379449567,141.252896788656,131.95992926127,141.641134134297,145.710844091178,140.611655818843,147.693208596237,143.210164286866,136.030461664512,149.188385187688,159.413041770698,149.530737871428,154.485431539077,150.514249097973,153.719840754865,151.831699876643,161.853818914795,152.171248917763,152.49086148358,149.439407882572,155.425218022154,169.51262405129,155.95913075871,163.246147163764,163.524312819112,155.13569223624,166.089757612724,167.092016684151,159.321595879529,171.361737170304,167.795537592837,162.908605888366,171.809552648964,170.633165437252,169.474789298729,175.729709080479,170.989399456132,179.546427893379,183.622305642802,171.859326253951,173.549809157351,178.678090256449,183.582168259966
"6",141.728828159291,138.725415414514,136.511162508278,138.093215008611,135.998284758826,140.901574407363,140.703301073285,145.904652627979,149.846738794488,137.715553701349,143.682508502357,152.72203291991,148.106586040094,149.872457610385,147.868672178031,149.337929558048,145.397943406245,147.467056204861,155.672097869361,155.53751470736,152.474277855548,149.365568830417,154.85061341719,157.147163302061,161.5458072293,158.131525414816,164.451150250332,162.816643153473,165.90520578525,164.844076790119,162.801237422017,167.923197509642,169.241025579562,175.528955588005,167.866407949478,167.410458818291,167.6370172408,170.320708209018,168.413924429673,167.333097411066,182.126654214807,175.970450069976,172.0729888399,176.165650757629,173.656769475592,177.434260286816
"7",134.792138248075,141.505766449597,137.588729102584,145.256112895068,137.111042458199,150.132527623415,137.129589314616,144.160054789916,143.347558861351,156.902838105374,147.929271626897,152.927801065572,149.701941323364,151.801355273659,149.499902022633,149.11973860646,143.542226743988,146.522595202002,159.342581856661,157.117517864273,159.720848487677,159.621367008591,155.569336393439,161.183712652243,172.389072429684,150.544588705419,157.546446341915,157.937525966051,154.726243792749,163.839139721767,154.019918106016,153.713824834157,171.016259266079,164.333659823203,169.513533000831,172.382336275247,171.997051181845,181.321789551238,177.285216129666,171.311473005458,172.211687209925,178.982140258461,176.363452942834,174.328805926053,176.040484462528,174.562666715418
"8",134.00337358546,134.179689835049,139.612974782892,149.225584406363,136.219562906893,138.930911630958,145.629639643995,138.525896748553,142.235425043727,139.851551767405,156.880078519096,146.417797064057,149.044506073047,140.073485368885,155.33128341249,150.866012437958,145.39416027746,166.349702533997,148.737183220109,149.954136834463,151.231789965332,154.214687478585,159.096220364917,151.20488814743,164.849892306813,159.510590423465,161.452073379558,167.581101332048,159.786025206439,165.810419630721,160.701183347305,169.196823805765,166.350773228579,159.174727738582,170.035664026538,169.167419543565,169.817341782828,169.994558218134,172.866050138639,169.465514179186,182.241864977731,172.923964282675,176.935646674195,177.200538321238,173.929203339696,180.366209443706
"9",135.050405790526,137.500926446784,138.995997229619,133.830071945036,141.332752484872,139.774619399853,136.030914285712,145.945080633919,142.773352419837,141.257067930777,142.005677098376,142.512750560027,151.479012090798,143.405819898965,149.522929520045,150.902850004469,151.677894380257,149.213017487675,151.226775362887,147.905533081801,150.846618195861,160.056068170961,153.358712044931,157.09565791264,153.618283956157,157.761673286665,166.45513310277,160.765368587726,161.211430377155,167.478002701994,159.263730970026,169.658229976146,166.875089853531,169.598722966012,171.832932693695,168.427214320359,174.046920533884,166.020650912052,167.181179861352,171.345866446893,172.539504081295,187.014337800194,174.70189150333,176.431622846026,184.669239767231,178.887656841966
"10",139.086208939433,140.302778708455,139.280304989194,127.307953697723,134.451212993521,141.933341747478,137.397080583249,152.966529273288,147.806309007839,143.542734212327,142.76142546332,149.009592776792,151.747080637971,157.640399200698,152.787893164816,157.213595197752,148.022087663019,145.152446980432,154.740427264754,155.260994000235,149.749789652618,167.289050451843,154.853611140415,149.260529754811,150.233530207118,164.323030060443,162.602696306528,158.690122220456,167.831287728927,167.797099809694,172.893044421428,169.881169783022,166.353388637653,161.119000961728,166.443778750687,166.656113603395,165.863158692274,160.240332915383,175.501693034922,172.899161205298,169.338917767047,167.605753663005,163.236324814458,164.537936620778,173.281870896897,182.769072172676
